timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605526788000,1453,Today's Deals,200,OK,Amazon_Thread group 1-77,text,true,,112137,465,97,97,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,867,0,42
1605526788392,1075,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-39,text,true,,71421,464,97,97,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,492,0,0
1605526788404,1071,SLP: Search listing Page,200,OK,Amazon_Thread group 1-9,text,true,,129272,422,97,97,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,257,0,0
1605526787382,2101,Cart Page,200,OK,Amazon_Thread group 1-29,text,true,,77734,427,96,96,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,935,0,33
1605526788521,973,Cart Page,200,OK,Amazon_Thread group 1-22,text,true,,76849,427,96,96,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,353,0,31
1605526788140,1358,Today's Deals,200,OK,Amazon_Thread group 1-80,text,true,,115433,465,96,96,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,772,0,48
1605526788506,1026,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-46,text,true,,74036,464,96,96,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,440,0,0
1605526788210,1366,Cart Page,200,OK,Amazon_Thread group 1-47,text,true,,73642,427,96,96,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,351,0,39
1605526788268,1309,Amazon HomePage,200,OK,Amazon_Thread group 1-100,text,true,,97518,391,96,96,https://www.amazon.com/,293,0,50
1605526788550,1031,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-48,text,true,,73968,464,96,96,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,446,0,0
1605526788424,1176,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-45,text,true,,71438,464,96,96,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,590,0,0
1605526788058,1550,Today's Deals,200,OK,Amazon_Thread group 1-59,text,true,,103129,465,96,96,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,848,0,45
1605526788262,1346,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-24,text,true,,74475,464,96,96,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,543,0,0
1605526788209,1448,Today's Deals,200,OK,Amazon_Thread group 1-81,text,true,,113975,465,96,96,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,858,0,41
1605526788197,1486,Cart Page,200,OK,Amazon_Thread group 1-41,text,true,,74731,427,96,96,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,362,0,38
1605526788663,1028,Today's Deals,200,OK,Amazon_Thread group 1-89,text,true,,109166,465,96,96,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,440,0,35
1605526788663,1044,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-34,text,true,,71433,464,96,96,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,460,0,0
1605526788750,967,Cart Page,200,OK,Amazon_Thread group 1-60,text,true,,75098,427,96,96,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,352,0,44
1605526788665,1078,SLP: Search listing Page,200,OK,Amazon_Thread group 1-25,text,true,,128455,422,96,96,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,241,0,0
1605526788661,1082,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-18,text,true,,74443,464,96,96,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,499,0,0
1605526788768,978,Cart Page,200,OK,Amazon_Thread group 1-64,text,true,,74097,427,95,95,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,366,0,44
1605526788730,1037,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-30,text,true,,74323,464,95,95,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,451,0,0
